rotr;rotl;shift;rounds
01;01;18;55
01;01;22;55
01;01;26;119
01;01;30;31
01;02;10;1019
01;02;12;1019
01;02;13;126913
01;02;14;503
01;02;15;125
01;02;16;47
01;02;18;867
01;02;19;32765
01;02;22;371
01;02;24;507
01;02;25;131069
01;02;28;867
01;02;30;31
01;02;31;8189
01;03;20;10229
01;03;28;31
01;04;08;47
01;04;09;110669
01;04;11;1487
01;04;12;47
01;04;13;131069
01;04;14;371
01;04;15;28643
01;04;16;7
01;04;17;43689
01;04;18;47
01;04;19;26669
01;04;20;31
01;04;21;43689
01;04;23;126913
01;04;24;47
01;04;25;26669
01;04;26;119
01;04;27;9361
01;04;28;31
01;04;30;119
01;04;31;2183
01;05;08;131069
01;05;10;131069
01;05;12;32765
01;05;15;3905
01;05;18;10667
01;05;22;10709
01;05;25;8183
01;05;27;21419
01;05;30;1019
01;06;08;867
01;06;10;167
01;06;12;507
01;06;14;59
01;06;15;32765
01;06;16;55
01;06;17;32765
01;06;19;9197
01;06;22;867
01;06;23;14223
01;06;25;129793
01;06;26;31
01;06;28;507
01;06;29;114673
01;06;30;867
01;07;24;31
01;08;08;47
01;08;09;629
01;08;11;8189
01;08;13;32765
01;08;15;32765
01;08;17;47
01;08;18;47
01;08;19;31
01;08;20;31
01;08;21;131069
01;08;24;31
01;08;25;65531
01;08;27;126913
01;08;28;7
01;08;29;1019
01;09;09;16381
01;09;10;110669
01;09;14;8189
01;09;18;31247
01;09;20;18541
01;09;21;126913
01;09;22;419
01;09;23;65533
01;09;24;32765
01;09;30;26213
01;10;08;251
01;10;09;131069
01;10;12;867
01;10;16;119
01;10;22;31
01;10;23;13019
01;10;27;629
01;11;09;167
01;11;12;15809
01;11;13;239
01;11;19;55
01;11;21;419
01;11;22;6551
01;11;24;167
01;11;25;507
01;11;28;126913
01;12;08;15
01;12;09;10229
01;12;10;867
01;12;14;867
01;12;16;31
01;12;17;55
01;12;19;65533
01;12;20;31
01;12;21;167
01;12;22;1019
01;12;23;61409
01;12;24;31
01;12;26;867
01;12;27;9361
01;12;28;31
01;13;08;26213
01;13;14;3065
01;13;15;32765
01;13;18;65531
01;13;19;9197
01;13;26;32763
01;13;27;3569
01;13;28;43689
01;13;29;95045
01;13;30;15329
01;14;09;131069
01;14;13;8183
01;14;16;15
01;14;18;31
01;14;21;6551
01;14;25;5333
01;14;26;867
01;14;27;65531
01;14;29;8189
01;14;30;167
01;14;31;21843
01;15;16;31
01;16;09;119
01;16;13;129793
01;16;14;47
01;16;15;61409
01;16;16;31
01;16;21;5109
01;16;25;39
01;16;26;47
01;16;27;114673
01;16;29;35
01;16;30;39
01;16;31;33
01;17;10;14321
01;17;15;126913
01;17;16;251
01;17;18;114673
01;17;19;65533
01;17;26;131069
01;17;27;8189
01;17;28;167
01;17;29;5109
01;17;30;65533
01;18;09;839
01;18;11;83
01;18;12;507
01;18;13;4339
01;18;14;31
01;18;15;32759
01;18;17;126913
01;18;19;65533
01;18;20;15
01;18;21;49145
01;18;22;55
01;18;23;9197
01;18;24;31
01;18;26;867
01;18;27;114673
01;18;28;867
01;18;29;49145
01;18;31;8189
01;19;08;509
01;19;09;119
01;19;11;681
01;19;12;65533
01;19;13;867
01;19;14;24563
01;19;15;131069
01;19;19;6819
01;19;21;1019
01;19;22;114673
01;19;24;8189
01;19;25;119
01;19;28;114673
01;20;09;21589
01;20;10;67
01;20;12;31
01;20;15;28643
01;20;16;15
01;20;22;31
01;20;23;3905
01;20;26;239
01;20;27;129793
01;20;31;2183
01;21;10;131069
01;21;11;32765
01;21;12;197
01;21;13;39369
01;21;14;1301
01;21;20;3569
01;21;21;19529
01;21;23;629
01;21;24;64769
01;21;26;3555
01;22;10;31
01;22;12;167
01;22;14;1019
01;22;15;5109
01;22;17;419
01;22;18;867
01;22;19;131069
01;22;20;507
01;22;24;867
01;22;25;43689
01;22;27;9547
01;22;28;507
01;22;29;16379
01;23;09;119
01;23;12;43689
01;23;24;129793
01;24;08;31
01;24;09;85973
01;24;10;31
01;24;11;63363
01;24;12;55
01;24;17;47
01;24;19;31
01;24;22;47
01;24;25;110669
01;24;26;31
01;24;28;15
01;24;29;1019
01;24;30;119
01;24;31;3737
02;01;08;251
02;01;10;251
02;01;11;49145
02;01;12;59
02;01;14;419
02;01;15;19529
02;01;16;47
02;01;19;126913
02;01;21;65533
02;01;22;119
02;01;23;43689
02;01;27;123
02;01;28;419
02;01;29;2045
02;01;31;31
02;02;08;125
02;02;20;23
02;02;28;15
02;03;09;118109
02;03;12;43689
02;03;14;8737
02;03;15;4317
02;03;16;47
02;03;17;8189
02;03;19;47243
02;03;20;9197
02;03;21;28643
02;03;23;16001
02;03;24;6137
02;03;26;8737
02;03;29;7811
02;03;30;129793
02;03;31;185
02;04;08;59
02;04;09;49127
02;04;11;129793
02;04;12;27
02;04;14;59
02;04;16;23
02;04;18;169
02;04;22;209
02;04;26;509
02;04;28;15
02;04;30;253
02;05;09;2603
02;05;11;7619
02;05;12;131069
02;05;13;131069
02;05;16;507
02;05;17;9547
02;05;20;65533
02;05;23;65533
02;05;25;43689
02;05;27;9197
02;05;28;114673
02;05;30;21589
02;05;31;1019
02;06;09;32765
02;06;24;433
02;07;08;32765
02;07;10;110669
02;07;13;12953
02;07;15;26213
02;07;16;251
02;07;19;65533
02;07;20;16001
02;07;21;49145
02;07;25;31
02;07;26;2519
02;07;27;65533
02;07;28;5109
02;07;29;203
02;07;30;43689
02;07;31;8189
02;08;08;23
02;08;10;59
02;08;11;126913
02;08;14;253
02;08;18;23
02;08;19;39
02;08;20;23
02;08;21;119
02;08;22;15
02;08;24;15
02;08;30;433
02;09;08;65533
02;09;09;9197
02;09;10;43689
02;09;12;131069
02;09;13;95045
02;09;14;126913
02;09;16;111
02;09;21;509
02;09;22;251
02;09;23;31
02;09;24;7811
02;09;31;47
02;10;08;83
02;10;09;545
02;10;10;119
02;10;12;101
02;10;14;41
02;10;19;10229
02;10;20;251
02;10;22;209
02;10;24;253
02;10;26;185
02;10;28;101
02;11;09;43689
02;11;10;65533
02;11;11;42965
02;11;12;20459
02;11;15;95045
02;11;17;509
02;11;19;12263
02;11;21;31
02;11;22;3065
02;11;24;65533
02;11;25;131069
02;11;27;509
02;11;28;14321
02;11;31;126913
02;12;09;509
02;12;10;433
02;12;13;32765
02;12;15;2729
02;12;16;7
02;12;18;33
02;12;20;15
02;12;21;15809
02;12;23;9361
02;12;26;253
02;12;28;59
02;12;30;169
02;13;14;2045
02;13;15;1859
02;13;17;65533
02;13;19;509
02;13;24;26213
02;13;25;126913
02;13;26;10229
02;13;30;65533
02;13;31;867
02;14;16;15
02;15;08;9361
02;15;09;43689
02;15;10;2519
02;15;15;681
02;15;16;31
02;15;17;31
02;15;19;47243
02;15;20;42965
02;15;23;129793
02;15;24;509
02;15;27;7709
02;15;29;129793
02;15;30;7139
02;15;31;65533
02;16;10;59
02;16;11;503
02;16;16;15
02;16;18;29
02;16;20;3
02;16;21;867
02;16;23;39
02;16;26;19
02;16;28;23
02;16;30;17
02;17;10;65533
02;17;12;126913
02;17;15;31
02;17;16;119
02;17;17;8189
02;17;19;110669
02;17;20;126913
02;17;22;9361
02;17;23;7811
02;17;24;65533
02;17;25;126913
02;17;27;419
02;17;28;26213
02;17;31;47
02;18;08;59
02;18;10;209
02;18;12;125
02;18;14;433
02;18;16;15
02;18;19;16001
02;18;20;169
02;18;22;253
02;18;24;19
02;18;26;253
02;18;28;509
02;19;08;181
02;19;09;251
02;19;10;65533
02;19;11;4091
02;19;13;31
02;19;16;507
02;19;21;131069
02;19;22;8189
02;19;23;9197
02;19;24;131069
02;19;29;419
02;19;31;209
02;20;10;59
02;20;11;15329
02;20;12;15
02;20;13;119
02;20;14;169
02;20;18;83
02;20;19;43689
02;20;20;19
02;20;21;9361
02;20;22;247
02;20;24;7
02;20;30;253
02;21;08;43689
02;21;09;110669
02;21;11;31
02;21;13;42965
02;21;14;3905
02;21;15;14321
02;21;16;55
02;21;19;49145
02;21;21;8189
02;21;23;131069
02;21;25;32765
02;21;27;49145
02;21;28;9361
02;21;29;8189
02;21;31;507
02;22;08;15
02;22;10;59
02;22;11;101
02;22;12;253
02;22;13;119
02;22;24;27
02;23;08;32765
02;23;09;31
02;23;12;63363
02;23;17;509
02;23;19;2479
02;23;20;126913
02;23;22;10921
02;23;23;5207
02;23;25;32765
02;23;27;131069
02;23;28;335
02;23;30;49145
02;23;31;419
02;24;08;15
02;24;12;15
02;24;13;2519
02;24;15;239
02;24;18;23
02;24;22;15
02;24;25;239
02;24;26;247
02;24;28;15
02;24;30;433
03;01;20;31
03;01;28;20459
03;02;09;110669
03;02;10;43689
03;02;12;114673
03;02;13;131069
03;02;14;64769
03;02;15;9361
03;02;16;47
03;02;17;65531
03;02;20;49145
03;02;21;15809
03;02;23;7619
03;02;26;10229
03;02;27;129793
03;02;28;10709
03;02;30;61409
03;03;09;85
03;03;10;359
03;03;15;65527
03;03;16;371
03;03;17;131069
03;03;18;49145
03;03;23;43689
03;03;26;167
03;03;27;909
03;03;28;26213
03;03;29;43689
03;03;30;131069
03;04;09;65533
03;04;10;64769
03;04;12;114673
03;04;13;4091
03;04;14;2043
03;04;19;95045
03;04;20;65533
03;04;21;126913
03;04;22;32759
03;04;24;119
03;04;25;3905
03;04;27;43689
03;04;31;239
03;05;24;32765
03;06;09;85973
03;06;10;251
03;06;11;5333
03;06;15;63239
03;06;16;55
03;06;17;42965
03;06;18;3569
03;06;19;15809
03;06;20;2043
03;06;21;1427
03;06;23;65533
03;06;25;8183
03;06;26;126913
03;06;27;13019
03;06;30;5333
03;06;31;503
03;07;08;909
03;07;10;3809
03;07;11;65533
03;07;14;26213
03;07;15;2729
03;07;18;42965
03;07;20;15809
03;07;21;129793
03;07;22;8189
03;07;24;14321
03;07;25;9197
03;07;30;2045
03;08;08;129793
03;08;09;65533
03;08;11;2729
03;08;13;32765
03;08;14;167
03;08;17;20469
03;08;19;47
03;08;21;321
03;08;24;21843
03;08;29;16379
03;08;31;867
03;09;11;55
03;09;12;49145
03;09;15;339
03;09;20;95045
03;09;21;10229
03;09;22;7619
03;09;23;251
03;09;27;507
03;09;28;679
03;10;08;32765
03;10;09;126913
